FROM,TO
0,0
1,1
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
17,17
18,18
19,19
20,20
21,21
22,22
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
34,34
35,35
36,36
37,37
39,39
40,40
41,41
42,42
43,43
44,44
45,45
48,48
49,49
50,50
51,51
55,55
56,56
57,57
58,58
59,59
62,62
63,63
77,77
310,310
902,902
1410,1410
1411,1411
1412,1412
1413,1413
1414,1414
1415,1415
1420,1420
1430,1430
1431,1431
1432,1432
1433,1433
1434,1434
1435,1435
1440,1440
1450,1450
1451,1451
1452,1452
1453,1453
1454,1454
1455,1455
1456,1456
1457,1457
1460,1460
1461,1461
1462,1462
1464,1464
1465,1465
300,300
301,301
302,302
303,303
304,304
305,305
306,306
308,308
400,400
401,401
402,402
403,403
405,405
406,406
407,407
408,408
409,409
412,412
413,413
414,414
601,601
600,600
602,602
605,605
610,610
612,612
901,901
606,606
607,607
608,608
700,700
701,701
702,702
703,703
1800,1800
72,72
1600,1600
1601,1601
1602,1602
1603,1603
1604,1604
1605,1605
1606,1606
1902,1902
1903,1903
1904,1904
1607,1607
2,2
2000,2000
2001,2001
2002,2002
2003,2003
2006,2006
2007,2007
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2019,2019
2020,2020
2021,2021
2022,2022
2023,2023
2024,2024
2025,2025
2027,2027
1901,1901
1905,1905
2141,2141
2142,2142
2200,2200
53,53
500,500
2100,2100
2110,2110
2111,2111
2112,2112
2113,2113
2114,2114
2115,2115
2116,2116
2117,2117
2118,2118
2120,2120
2121,2121
2122,2122
2123,2123
2126,2126
2127,2127
2128,2128
2129,2129
2130,2130
2131,2131
2132,2132
2133,2133
2134,2134
2135,2135
2140,2140
2143,2143
2144,2144
2150,2150
2151,2151
2152,2152
2153,2153
2154,2154
2156,2156
2161,2161
2600,2600
212910,2910
212911,2911
212912,2912
212913,2913
212914,2914
212915,2915
